Generation,A1_Frequency,A1A1_Frequency,A1A2_Frequency,A2A2_Frequency
288,0.090800,0.008245,0.165111,0.826645
289,0.093650,0.008770,0.169759,0.821470
290,0.094550,0.008940,0.171221,0.819840
291,0.099450,0.009890,0.179119,0.810990
292,0.098000,0.009604,0.176792,0.813604
293,0.101650,0.010333,0.182635,0.807033
294,0.102100,0.010424,0.183351,0.806224
295,0.106050,0.011247,0.189607,0.799147
296,0.101600,0.010323,0.182555,0.807123
297,0.101600,0.010323,0.182555,0.807123
298,0.100600,0.010120,0.180959,0.808920
299,0.101550,0.010312,0.182475,0.807212
300,0.100100,0.010020,0.180160,0.809820
301,0.098400,0.009683,0.177435,0.812883
302,0.098400,0.009683,0.177435,0.812883
303,0.099900,0.009980,0.179840,0.810180
304,0.100600,0.010120,0.180959,0.808920
305,0.100050,0.010010,0.180080,0.809910
306,0.101350,0.010272,0.182156,0.807572
307,0.102250,0.010455,0.183590,0.805955
308,0.104650,0.010952,0.187397,0.801652
309,0.099100,0.009821,0.178558,0.811621
310,0.098700,0.009742,0.177917,0.812342
311,0.095000,0.009025,0.171950,0.819025
312,0.093900,0.008817,0.170166,0.821017
313,0.094500,0.008930,0.171139,0.819930
314,0.092850,0.008621,0.168458,0.822921
315,0.093350,0.008714,0.169272,0.822014
316,0.090150,0.008127,0.164046,0.827827
317,0.090300,0.008154,0.164292,0.827554
318,0.091200,0.008317,0.165765,0.825917
319,0.089750,0.008055,0.163390,0.828555
320,0.089750,0.008055,0.163390,0.828555
321,0.089400,0.007992,0.162815,0.829192
322,0.094550,0.008940,0.171221,0.819840
323,0.096550,0.009322,0.174456,0.816222
324,0.098650,0.009732,0.177836,0.812432
325,0.095400,0.009101,0.172598,0.818301
326,0.097200,0.009448,0.175504,0.815048
327,0.096700,0.009351,0.174698,0.815951
328,0.093350,0.008714,0.169272,0.822014
329,0.093150,0.008677,0.168946,0.822377
330,0.092300,0.008519,0.167561,0.823919
331,0.091100,0.008299,0.165602,0.826099
332,0.088600,0.007850,0.161500,0.830650
333,0.087700,0.007691,0.160017,0.832291
334,0.090850,0.008254,0.165193,0.826554
335,0.091600,0.008391,0.166419,0.825191
336,0.094700,0.008968,0.171464,0.819568
337,0.101000,0.010201,0.181598,0.808201
338,0.100850,0.010171,0.181359,0.808471
339,0.102800,0.010568,0.184464,0.804968
340,0.102400,0.010486,0.183828,0.805686
341,0.103600,0.010733,0.185734,0.803533
342,0.107400,0.011535,0.191730,0.796735
343,0.105700,0.011172,0.189055,0.799772
344,0.106900,0.011428,0.190945,0.797628
345,0.105350,0.011099,0.188503,0.800399
346,0.106400,0.011321,0.190158,0.798521
347,0.105250,0.011078,0.188345,0.800578
348,0.105650,0.011162,0.188976,0.799862
349,0.108400,0.011751,0.193299,0.794951
350,0.107800,0.011621,0.192358,0.796021
351,0.104950,0.011015,0.187871,0.801115
352,0.105100,0.011046,0.188108,0.800846
353,0.105550,0.011141,0.188818,0.800041
354,0.104800,0.010983,0.187634,0.801383
355,0.100950,0.010191,0.181518,0.808291
356,0.100200,0.010040,0.180320,0.809640
357,0.101600,0.010323,0.182555,0.807123
358,0.102050,0.010414,0.183272,0.806314
359,0.102350,0.010476,0.183749,0.805776
360,0.104650,0.010952,0.187397,0.801652
361,0.104750,0.010973,0.187555,0.801473
362,0.102650,0.010537,0.184226,0.805237
363,0.105700,0.011172,0.189055,0.799772
364,0.102950,0.010599,0.184703,0.804699
365,0.106550,0.011353,0.190394,0.798253
366,0.108250,0.011718,0.193064,0.795218
367,0.106750,0.011396,0.190709,0.797896
368,0.105200,0.011067,0.188266,0.800667
369,0.101900,0.010384,0.183033,0.806584
370,0.106250,0.011289,0.189922,0.798789
371,0.106150,0.011268,0.189764,0.798968
372,0.106850,0.011417,0.190866,0.797717
373,0.111250,0.012377,0.197747,0.789877
374,0.113250,0.012826,0.200849,0.786326
375,0.115250,0.013283,0.203935,0.782783
376,0.111100,0.012343,0.197514,0.790143
377,0.109600,0.012012,0.195176,0.792812
378,0.110400,0.012188,0.196424,0.791388
379,0.108100,0.011686,0.192829,0.795486
380,0.104250,0.010868,0.186764,0.802368
381,0.102750,0.010558,0.184385,0.805058
382,0.100500,0.010100,0.180800,0.809100
383,0.102650,0.010537,0.184226,0.805237
384,0.101450,0.010292,0.182316,0.807392
385,0.102200,0.010445,0.183510,0.806045
386,0.104000,0.010816,0.186368,0.802816
387,0.101550,0.010312,0.182475,0.807212
388,0.103950,0.010806,0.186289,0.802906
389,0.103800,0.010774,0.186051,0.803174
390,0.102700,0.010547,0.184305,0.805147
391,0.103800,0.010774,0.186051,0.803174
392,0.101950,0.010394,0.183112,0.806494
393,0.100450,0.010090,0.180720,0.809190
394,0.100750,0.010151,0.181199,0.808651
395,0.099700,0.009940,0.179520,0.810540
396,0.099900,0.009980,0.179840,0.810180
397,0.100950,0.010191,0.181518,0.808291
398,0.098100,0.009624,0.176953,0.813424
399,0.097600,0.009526,0.176148,0.814326
400,0.100850,0.010171,0.181359,0.808471
401,0.096100,0.009235,0.173730,0.817035
402,0.096350,0.009283,0.174133,0.816583
403,0.094300,0.008892,0.170815,0.820292
404,0.090600,0.008208,0.164783,0.827008
405,0.090600,0.008208,0.164783,0.827008
406,0.086750,0.007526,0.158449,0.834026
407,0.086900,0.007552,0.158697,0.833752
408,0.084200,0.007090,0.154221,0.838690
409,0.086800,0.007534,0.158532,0.833934
410,0.085000,0.007225,0.155550,0.837225
411,0.088700,0.007868,0.161665,0.830468
412,0.090650,0.008217,0.164865,0.826917
413,0.094000,0.008836,0.170328,0.820836
414,0.091650,0.008400,0.166501,0.825100
415,0.094100,0.008855,0.170490,0.820655
416,0.094800,0.008987,0.171626,0.819387
417,0.093950,0.008827,0.170247,0.820927
418,0.092950,0.008640,0.168621,0.822740
419,0.092300,0.008519,0.167561,0.823919
420,0.088450,0.007823,0.161253,0.830923
421,0.085300,0.007276,0.156048,0.836676
422,0.085000,0.007225,0.155550,0.837225
423,0.085550,0.007319,0.156462,0.836219
424,0.084850,0.007200,0.155301,0.837500
425,0.082250,0.006765,0.150970,0.842265
426,0.081200,0.006593,0.149213,0.844193
427,0.080400,0.006464,0.147872,0.845664
428,0.079800,0.006368,0.146864,0.846768
429,0.079250,0.006281,0.145939,0.847781
430,0.083100,0.006906,0.152389,0.840706
431,0.084250,0.007098,0.154304,0.838598
432,0.086550,0.007491,0.158118,0.834391
433,0.083250,0.006931,0.152639,0.840431
434,0.083350,0.006947,0.152806,0.840247
435,0.081100,0.006577,0.149046,0.844377
436,0.078550,0.006170,0.144760,0.849070
437,0.077350,0.005983,0.142734,0.851283
438,0.080450,0.006472,0.147956,0.845572
439,0.080000,0.006400,0.147200,0.846400
440,0.079500,0.006320,0.146360,0.847320
441,0.081950,0.006716,0.150468,0.842816
442,0.081200,0.006593,0.149213,0.844193
443,0.082900,0.006872,0.152055,0.841072
444,0.081850,0.006699,0.150301,0.842999
445,0.080900,0.006545,0.148710,0.844745
446,0.079500,0.006320,0.146360,0.847320
447,0.075750,0.005738,0.140024,0.854238
