Generation,A1_Frequency,A1A1_Frequency,A1A2_Frequency,A2A2_Frequency
2034,0.515700,0.265946,0.499507,0.234546
2035,0.512050,0.262195,0.499710,0.238095
2036,0.505100,0.255126,0.499948,0.244926
2037,0.508700,0.258776,0.499849,0.241376
2038,0.505100,0.255126,0.499948,0.244926
2039,0.505500,0.255530,0.499939,0.244530
2040,0.505600,0.255631,0.499937,0.244431
2041,0.510450,0.260559,0.499782,0.239659
2042,0.511700,0.261837,0.499726,0.238437
2043,0.517100,0.267392,0.499415,0.233192
2044,0.513600,0.263785,0.499630,0.236585
2045,0.510750,0.260866,0.499769,0.239366
2046,0.512450,0.262605,0.499690,0.237705
2047,0.517250,0.267548,0.499405,0.233048
2048,0.515550,0.265792,0.499516,0.234692
2049,0.516850,0.267134,0.499432,0.233434
2050,0.516850,0.267134,0.499432,0.233434
2051,0.515400,0.265637,0.499526,0.234837
2052,0.517700,0.268013,0.499373,0.232613
2053,0.520300,0.270712,0.499176,0.230112
2054,0.524400,0.274995,0.498809,0.226195
2055,0.529550,0.280423,0.498254,0.221323
2056,0.526450,0.277150,0.498601,0.224250
2057,0.527300,0.278045,0.498509,0.223445
2058,0.519700,0.270088,0.499224,0.230688
2059,0.519450,0.269828,0.499243,0.230928
2060,0.514950,0.265174,0.499553,0.235274
2061,0.513400,0.263580,0.499641,0.236780
2062,0.512450,0.262605,0.499690,0.237705
2063,0.515550,0.265792,0.499516,0.234692
2064,0.520300,0.270712,0.499176,0.230112
2065,0.521800,0.272275,0.499050,0.228675
2066,0.520850,0.271285,0.499131,0.229585
2067,0.515500,0.265740,0.499520,0.234740
2068,0.516950,0.267237,0.499425,0.233337
2069,0.511500,0.261632,0.499735,0.238632
2070,0.514400,0.264607,0.499585,0.235807
2071,0.513150,0.263323,0.499654,0.237023
2072,0.517650,0.267962,0.499377,0.232662
2073,0.517700,0.268013,0.499373,0.232613
2074,0.515500,0.265740,0.499520,0.234740
2075,0.516700,0.266979,0.499442,0.233579
2076,0.515500,0.265740,0.499520,0.234740
2077,0.514500,0.264710,0.499580,0.235710
2078,0.512600,0.262759,0.499682,0.237559
2079,0.517500,0.267806,0.499387,0.232806
2080,0.512950,0.263118,0.499665,0.237218
2081,0.510900,0.261019,0.499762,0.239219
2082,0.513450,0.263631,0.499638,0.236731
2083,0.509500,0.259590,0.499820,0.240590
2084,0.508800,0.258877,0.499845,0.241277
2085,0.503100,0.253110,0.499981,0.246910
2086,0.506550,0.256593,0.499914,0.243493
2087,0.503500,0.253512,0.499976,0.246512
2088,0.507750,0.257810,0.499880,0.242310
2089,0.500150,0.250150,0.500000,0.249850
2090,0.503800,0.253814,0.499971,0.246214
2091,0.501650,0.251653,0.499995,0.248353
2092,0.501650,0.251653,0.499995,0.248353
2093,0.502200,0.252205,0.499990,0.247805
2094,0.510250,0.260355,0.499790,0.239855
2095,0.515950,0.266204,0.499491,0.234304
2096,0.521350,0.271806,0.499088,0.229106
2097,0.515850,0.266101,0.499498,0.234401
2098,0.510700,0.260814,0.499771,0.239414
2099,0.510600,0.260712,0.499775,0.239512
2100,0.506000,0.256036,0.499928,0.244036
2101,0.506500,0.256542,0.499916,0.243542
2102,0.508750,0.258827,0.499847,0.241327
2103,0.508350,0.258420,0.499861,0.241720
2104,0.504550,0.254571,0.499959,0.245471
2105,0.497250,0.247258,0.499985,0.252758
2106,0.495450,0.245471,0.499959,0.254571
2107,0.488550,0.238681,0.499738,0.261581
2108,0.492900,0.242950,0.499899,0.257150
2109,0.491500,0.241572,0.499855,0.258572
2110,0.494550,0.244580,0.499941,0.255480
2111,0.494700,0.244728,0.499944,0.255328
2112,0.497600,0.247606,0.499988,0.252406
2113,0.497250,0.247258,0.499985,0.252758
2114,0.493650,0.243690,0.499919,0.256390
2115,0.493100,0.243148,0.499905,0.256948
2116,0.492300,0.242359,0.499881,0.257759
2117,0.487900,0.238046,0.499707,0.262246
2118,0.486250,0.236439,0.499622,0.263939
2119,0.482100,0.232420,0.499359,0.268220
2120,0.481600,0.231939,0.499323,0.268739
2121,0.480700,0.231072,0.499255,0.269672
2122,0.478500,0.228962,0.499076,0.271962
2123,0.478800,0.229249,0.499101,0.271649
2124,0.475700,0.226290,0.498819,0.274890
2125,0.478700,0.229154,0.499093,0.271754
2126,0.478450,0.228914,0.499071,0.272014
2127,0.478550,0.229010,0.499080,0.271910
2128,0.481350,0.231698,0.499304,0.268998
2129,0.480650,0.231024,0.499251,0.269724
2130,0.478450,0.228914,0.499071,0.272014
2131,0.476950,0.227481,0.498937,0.273581
2132,0.474150,0.224818,0.498664,0.276518
2133,0.472500,0.223256,0.498488,0.278256
2134,0.467900,0.218930,0.497939,0.283130
2135,0.466350,0.217482,0.497735,0.284782
2136,0.466950,0.218042,0.497815,0.284142
2137,0.469700,0.220618,0.498164,0.281218
2138,0.471500,0.222312,0.498375,0.279312
2139,0.473900,0.224581,0.498638,0.276781
2140,0.475050,0.225673,0.498755,0.275573
2141,0.476400,0.226957,0.498886,0.274157
2142,0.476700,0.227243,0.498914,0.273843
